,Address,Price,Beds,Baths,Receptions,URL
94,"Rotherfield Street, London, N1 ","£400,000",1,1,1,https://www.century21uk.com/property/354/5102e55d050e2bd0383793b2556063c6/
95,"Mildmay Avenue, London, N1 ","£400,000",1,1,1,https://www.century21uk.com/property/506/5102e55d050e2bd0383793b2556063c6/
96,"Shaftesbury Road, London, E10 ","£400,000",Studio,1,,https://www.century21uk.com/property/561/6c6c8d884b336b3b79db6cadc2342e01/
97,"Aylesbury Road, London, SE17 ","£400,000",1,1,1,https://www.century21uk.com/property/34/e56be8c92f8099b9b0d98bfa2ef09b07/
98,"Mortimer Road, London, E6 ","£400,000",4,1,2,https://www.century21uk.com/property/340/93babe68b188cb8fbe34b57dc3e6d93d/
99,"Teddington Park Road, Teddington, TW11 ","£399,950",2,1,1,https://www.century21uk.com/property/16/7dc3b69cd3099982477021a6450bce67/
100,"Watton Point, Surbiton, KT6 ","£375,000",Studio,1,1,https://www.century21uk.com/property/18/7dc3b69cd3099982477021a6450bce67/
101,"139 Highbury New Park, London, N5 ","£370,000",1,1,1,https://www.century21uk.com/property/847/5102e55d050e2bd0383793b2556063c6/
102,"Staines Road, Hounslow, tw4 ","£367,000",2,1,1,https://www.century21uk.com/property/188/113edcbba40c8723302988b89a7a7959/
103,"Bramley Road, London, W10 ","£350,000",Studio,1,1,https://www.century21uk.com/property/74/113edcbba40c8723302988b89a7a7959/
104,"Staines Road, Hounslow, TW4 ","£354,000",2,1,1,https://www.century21uk.com/property/205/113edcbba40c8723302988b89a7a7959/
105,"The Thomas More Building, Ruislip, HA4 ","£350,000",2,1,1,https://www.century21uk.com/property/215/113edcbba40c8723302988b89a7a7959/
106,"Louise Gardens, Rainham, RM13 ","£350,000",3,2,1,https://www.century21uk.com/property/578/f9e33985765d759fd0a1f7db1a7699d9/
107,"Terrace Apartments, London, N5 ","£350,000",Studio,1,1,https://www.century21uk.com/property/960/5102e55d050e2bd0383793b2556063c6/
108,"Nolan Way, London, E5 ","£335,000",2,1,1,https://www.century21uk.com/property/6/a64502258e3563b208c6e04f359e13f7/
109,"Henley Lodge, London, E17 ","£349,950",2,1,1,https://www.century21uk.com/property/619/6c6c8d884b336b3b79db6cadc2342e01/
110,"Capel House, Surbiton, KT5 ","£348,000",2,1,1,https://www.century21uk.com/property/459/7d68a64802da447c2a542594e159e526/
111,"Guysfield Close, Rainham, RM13 ","£320,000",3,1,1,https://www.century21uk.com/property/649/f9e33985765d759fd0a1f7db1a7699d9/
112,"Staines Road, Hounslow, TW4 ","£345,000",2,1,1,https://www.century21uk.com/property/201/113edcbba40c8723302988b89a7a7959/
113,"Staines Road, Hounslow, TW4 ","£316,000",1,1,1,https://www.century21uk.com/property/202/113edcbba40c8723302988b89a7a7959/
114,"Blackhorse Lane, London, E17 ","£330,000",2,1,1,https://www.century21uk.com/property/616/6c6c8d884b336b3b79db6cadc2342e01/
115,"Swift Close, Hayes, UB3 ","£315,000",3,1,1,https://www.century21uk.com/property/238/113edcbba40c8723302988b89a7a7959/
116,"Markhouse Road, London, E17 ","£325,000",2,1,1,https://www.century21uk.com/property/548/6c6c8d884b336b3b79db6cadc2342e01/
117,"City Gate House, Ilford, IG2 ","£312,000",1,1,1,https://www.century21uk.com/property/378/091eedc485ba5a91347508c8af77e349/
118,"Ockley House, Kingston upon Thames, KT2 ","£320,000",3,1,1,https://www.century21uk.com/property/324/7d68a64802da447c2a542594e159e526/
119,"Reede Road, Dagenham, RM10 ","£310,000",2,1,1,https://www.century21uk.com/property/671/93babe68b188cb8fbe34b57dc3e6d93d/
120,"Flat 47, Ilford, IG2 ","£320,000",2,2,1,https://www.century21uk.com/property/479/4f0d1ba5c1681c2533d3fc2ae8bea5e5/
121,"Staines Road, Hounslow, TW4 ","£306,000",1,1,1,https://www.century21uk.com/property/189/113edcbba40c8723302988b89a7a7959/
122,", Hounslow, TW4 ","£306,000",1,1,1,https://www.century21uk.com/property/228/113edcbba40c8723302988b89a7a7959/
123,"125 High Street, London, E13 ","£300,000",2,1,1,https://www.century21uk.com/property/247/93babe68b188cb8fbe34b57dc3e6d93d/
124,"City View, Ilford, IG1 ","£299,995",2,2,1,https://www.century21uk.com/property/463/4f0d1ba5c1681c2533d3fc2ae8bea5e5/
125,"Amesbury Road, Feltham, TW13 ","£285,000",2,1,1,https://www.century21uk.com/property/13/7dc3b69cd3099982477021a6450bce67/
126,"Shakespeare Avenue, Hayes, UB4 ","£280,000",2,1,1,https://www.century21uk.com/property/94/1300e3bc2b2e04be865434c963ed40e9/
127,"Nash House, London, E17 ","£290,000",1,1,1,https://www.century21uk.com/property/624/6c6c8d884b336b3b79db6cadc2342e01/
128,"Gloxinia Walk, Hampton, TW12 ","£275,000",1,1,1,https://www.century21uk.com/property/2/7dc3b69cd3099982477021a6450bce67/
129,"Lincoln Court, Hampton, TW12 ","£275,000",1,1,1,https://www.century21uk.com/property/10/7dc3b69cd3099982477021a6450bce67/
130,"Blake Avenue, Barking, IG11 ","£270,000",2,2,1,https://www.century21uk.com/property/530/4f0d1ba5c1681c2533d3fc2ae8bea5e5/
131,"Lemonade Building, Barking, IG11 ","£270,000",2,2,1,https://www.century21uk.com/property/538/4f0d1ba5c1681c2533d3fc2ae8bea5e5/
132,"Meadow Close, London, SE6 ","£265,000",2,1,1,https://www.century21uk.com/property/87/e56be8c92f8099b9b0d98bfa2ef09b07/
133,"City View, Ilford, IG1 ","£260,000",2,2,1,https://www.century21uk.com/property/418/091eedc485ba5a91347508c8af77e349/
134,"Hoppner Road, Hayes, UB4 ","£260,000",2,1,1,https://www.century21uk.com/property/76/113edcbba40c8723302988b89a7a7959/
135,"Northumberland Grove, London, N17 ","£250,000",2,1,1,https://www.century21uk.com/property/184/af1576e6591ac41de2959120ffc25c5f/
136,"Lexicon Apartments, Romford, RM1 ","£249,950",1,1,1,https://www.century21uk.com/property/693/93babe68b188cb8fbe34b57dc3e6d93d/
137,"Rill Court, Barking, IG11 ","£220,000",1,1,1,https://www.century21uk.com/property/504/4f0d1ba5c1681c2533d3fc2ae8bea5e5/
138,"Upper Clapton Road, London, E5 ","£220,000",Studio,,,https://www.century21uk.com/property/1/a64502258e3563b208c6e04f359e13f7/
139,"Bideford Close, Feltham, TW13 ","£212,000",1,1,1,https://www.century21uk.com/property/6/7dc3b69cd3099982477021a6450bce67/
140,"Cutmore Ropeworks, Barking, IG11 ","£210,000",1,1,1,https://www.century21uk.com/property/556/4f0d1ba5c1681c2533d3fc2ae8bea5e5/
141,"Watermill Way, Feltham, TW13 ","£200,000",1,1,1,https://www.century21uk.com/property/3/7dc3b69cd3099982477021a6450bce67/
